Sample description: CaMK2a_WT_4mgmL_20mMMES_150mMNaCl_1mMDTT
Sample: CaMK2a_WT_4mgmL  c= 6.08 mg/ml  Code: CaMK2a_WT_4mgmL_MES_red
Parent(s): /Users/nqd670/Documents/Projects/CamKIIa_local/P12_Oct2022/analysis/FINAL_WT_6x_highconc/sub_002.dat
  1.025670e+00   2.409554e-03   7.665326e-05
  1.028470e+00   2.384007e-03   7.627444e-05
  1.031260e+00   2.196021e-03   7.509571e-05
  1.034060e+00   2.295571e-03   7.511406e-05
  1.036850e+00   2.318012e-03   7.576456e-05
  1.039650e+00   2.342664e-03   7.550482e-05
  1.042440e+00   2.279368e-03   7.474911e-05
  1.045230e+00   2.324442e-03   7.500025e-05
  1.048030e+00   2.276604e-03   7.423916e-05
  1.050820e+00   2.292885e-03   7.462962e-05
  1.053620e+00   2.287742e-03   7.374946e-05
  1.056410e+00   2.198822e-03   7.336526e-05
  1.059210e+00   2.311441e-03   7.365043e-05
  1.062000e+00   2.208095e-03   7.288487e-05
  1.064800e+00   2.329553e-03   7.362600e-05
  1.067590e+00   2.128683e-03   7.199776e-05
  1.070390e+00   2.267503e-03   7.292048e-05
  1.073180e+00   2.187161e-03   7.223002e-05
  1.075980e+00   2.177030e-03   7.166566e-05
  1.078770e+00   2.281562e-03   7.235442e-05
  1.081570e+00   2.378429e-03   7.251191e-05
  1.084360e+00   2.193158e-03   7.195658e-05
  1.087160e+00   2.253658e-03   7.209816e-05
  1.089950e+00   2.202987e-03   7.131824e-05
  1.092750e+00   2.130423e-03   7.094929e-05
  1.095540e+00   2.217388e-03   7.110510e-05
  1.098330e+00   2.142211e-03   7.095900e-05
  1.101130e+00   2.123095e-03   7.039462e-05
  1.103920e+00   2.111859e-03   7.038441e-05
  1.106720e+00   2.155033e-03   7.076520e-05
  1.109510e+00   1.977301e-03   6.926530e-05
  1.112310e+00   2.019079e-03   6.968605e-05
  1.115100e+00   2.061166e-03   6.983044e-05
  1.117900e+00   2.099058e-03   6.995829e-05
  1.120690e+00   2.104076e-03   7.002561e-05
  1.123490e+00   2.141227e-03   7.019816e-05
  1.126280e+00   2.071408e-03   6.955865e-05
  1.129080e+00   2.006590e-03   6.894283e-05
  1.131870e+00   1.978566e-03   6.879472e-05
  1.134670e+00   1.939941e-03   6.892563e-05
  1.137460e+00   1.946567e-03   6.874174e-05
  1.140260e+00   1.948510e-03   6.800388e-05
  1.143050e+00   1.993995e-03   6.866737e-05
  1.145850e+00   2.044278e-03   6.893444e-05
  1.148640e+00   2.001270e-03   6.832959e-05
  1.151440e+00   1.964306e-03   6.833173e-05
